discriminator_loss_results,discriminator_accuracy_results,adversarial_loss_results,adversarial_accuracy_results
0.011959414929151535,1,0.055254243314266205,1
0.01574777439236641,1,0.032221533358097076,1
0.01254698820412159,1,0.06607533246278763,1
0.020502183586359024,1,0.05094356834888458,1
0.014095507562160492,1,0.0780060738325119,1
0.02225341834127903,1,0.04133214056491852,1
0.014328764751553535,1,0.08141501247882843,1
0.0210463535040617,1,0.02770278975367546,1
0.012161454185843468,1,0.06749459356069565,1
0.017657455056905746,1,0.025667544454336166,1
0.011610805988311768,1,0.0680636391043663,1
0.018700260668992996,1,0.028991548344492912,1
0.01181965135037899,1,0.0632738471031189,1
0.017664069309830666,1,0.035052113234996796,1
0.012052938342094421,1,0.07045752555131912,1
0.016682304441928864,1,0.021215327084064484,1
0.01113075204193592,1,0.06790579855442047,1
0.017591290175914764,1,0.024708686396479607,1
0.0126588623970747,1,0.08462020009756088,1
0.021674223244190216,1,0.024326525628566742,1
0.011504961177706718,1,0.07888451963663101,1
0.01833481155335903,1,0.01598699577152729,1
0.010571653954684734,1,0.06864874809980392,1
0.015612563118338585,1,0.012853207997977734,1
0.009217455051839352,1,0.06252707540988922,1
0.014027628116309643,1,0.014730159193277359,1
0.010102453641593456,1,0.06420712172985077,1
0.01501922681927681,1,0.017231980338692665,1
0.0105460025370121,1,0.07168705016374588,1
0.015002608299255371,1,0.012484264560043812,1
0.00964736845344305,1,0.06635552644729614,1
0.014229970052838326,1,0.012564508244395256,1
0.008856439962983131,1,0.0665905773639679,1
0.01338614709675312,1,0.012472538277506828,1
0.009416352957487106,1,0.07699759304523468,1
0.014218618161976337,1,0.008661040104925632,1
0.009300097823143005,1,0.07787460833787918,1
0.013119623996317387,1,0.004538911394774914,1
0.008777709677815437,1,0.0731910690665245,1
0.01320240180939436,1,0.006286480464041233,1
0.009728754870593548,1,0.07889597117900848,1
0.015369152650237083,1,0.007073807064443827,1
0.009835289791226387,1,0.09027720987796783,1
0.014311167411506176,1,0.002311298158019781,1
0.008584456518292427,1,0.07489143311977386,1
0.012315329164266586,1,0.0014222604222595692,1
0.007309895474463701,1,0.06685388088226318,1
0.009613716043531895,1,0.0026555594522506,1
0.006969092413783073,1,0.05965550243854523,1
0.00947708822786808,1,0.0031395868863910437,1
0.007434168364852667,1,0.07463343441486359,1
0.011227013543248177,1,0.0028150309808552265,1
