discriminator_loss_results,discriminator_accuracy_results,adversarial_loss_results,adversarial_accuracy_results
3.0862854328006506e-4,1,7.205333095043898e-4,1
2.431493776384741e-4,1,8.125987369567156e-4,1
2.4623083299957216e-4,1,7.544038235209882e-4,1
3.373997751623392e-4,1,4.493891610763967e-4,1
2.0998001855332404e-4,1,6.373730720952153e-4,1
2.0334270084276795e-4,1,6.398506229743361e-4,1
1.5880100545473397e-4,1,7.526797708123922e-4,1
1.7512966587673873e-4,1,6.395004456862807e-4,1
1.8173565331380814e-4,1,5.414200131781399e-4,1
1.4974334044381976e-4,1,5.874696653336287e-4,1
1.412925630575046e-4,1,5.614298861473799e-4,1
1.6042086645029485e-4,1,3.9528211345896125e-4,1
1.5302820247597992e-4,1,4.111060407012701e-4,1
1.2722352403216064e-4,1,4.5950565254315734e-4,1
1.1031563917640597e-4,1,5.129494820721447e-4,1
1.0878108150791377e-4,1,4.553809412755072e-4,1
1.030753628583625e-4,1,4.3926018406637013e-4,1
1.1173973325639963e-4,1,2.720043994486332e-4,1
9.22996987355873e-5,1,4.0758337127044797e-4,1
8.061846165219322e-5,1,4.425300576258451e-4,1
7.376420398941264e-5,1,4.568950389511883e-4,1
9.765972208697349e-5,1,2.1997932344675064e-4,1
7.500369974877685e-5,1,3.4207882708869874e-4,1
6.665843102382496e-5,1,3.527504741214216e-4,1
7.155364437494427e-5,1,3.095112042501569e-4,1
5.745702583226375e-5,1,3.6091095535084605e-4,1
9.42917395150289e-5,1,1.0395747813163325e-4,1
6.178136391099542e-5,1,2.94338446110487e-4,1
4.397187876747921e-5,1,4.0489441016688943e-4,1
6.0344304074533284e-5,1,2.113726077368483e-4,1
5.275515286484733e-5,1,2.2824312327429652e-4,1
4.364907363196835e-5,1,2.716336166486144e-4,1
4.15693866671063e-5,1,2.460829564370215e-4,1
3.8383484934456646e-5,1,2.9463227838277817e-4,1
3.455319892964326e-5,1,3.3773548784665763e-4,1
3.530312824295834e-5,1,2.910910116042942e-4,1
5.4213713156059384e-5,1,4.8441917897434905e-5,1
4.4170668843435124e-5,1,1.8308851576875895e-4,1
3.115903746220283e-5,1,2.0501497783698142e-4,1
2.8415248380042613e-5,1,2.3662191233597696e-4,1
5.772051008534618e-5,1,1.1163366252731066e-5,1
4.973335671820678e-5,1,2.63482826994732e-4,1
2.0134171791141853e-5,1,2.3657249403186142e-4,1
2.0458952349144965e-5,1,2.1071481751278043e-4,1
2.327851325389929e-5,1,1.1207609350094572e-4,1
2.106682222802192e-5,1,1.6385452181566507e-4,1
1.9859098756569438e-5,1,1.622948911972344e-4,1
1.751602212607395e-5,1,1.8033277592621744e-4,1
3.192133590346202e-5,1,1.3819770174450241e-5,1
2.449565909046214e-5,1,1.156979487859644e-4,1
1.624061042093672e-5,1,7.612113404320553e-5,1
1.6612284525763243e-5,1,4.826625809073448e-5,1
1.4857141650281847e-5,1,4.855330189457163e-5,1
1.6658455933793448e-5,1,1.2919535947730765e-5,1
2.358781057409942e-5,1,4.972099532096763e-7,1
2.8015943826176226e-5,1,2.4688499252079055e-5,1
1.2918510037707165e-5,1,4.0824625102686696e-6,1
1.709004027361516e-5,1,2.022134424350952e-7,1
1.7453749023843557e-5,1,9.703860996523872e-6,1
1.3850505638401955e-5,1,2.18628002812693e-7,1
1.1956987691519316e-5,1,3.186642970831599e-6,1
6.096634024288505e-6,1,3.708304575411603e-6,1
6.355950972647406e-6,1,2.0414618120412342e-6,1
5.858571057615336e-6,1,2.3047941795084625e-6,1
